0,1,2,3,4,5,6,7,8,9,10,11
대구지방교정청,1. 기관소개,2. 정보목록 ,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
대전지방교정청,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
광주지방교정청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
북한인권기록보존소,1. 기록관소개,2. 정보목록 : 없음 ,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
한강유역환경청,1. 기관소개,2. 정보목록,3. 한강유역환경청 기록관 보유기록물 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
낙동강유역환경청,1. 기관소개,2. 정보목록,3. 낙동강유역환경청 기록관 보존기록물 목록,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
금강유역환경청,1. 기관소개,2. 정보목록,3. 기록관(문서고) 기록물 보유 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
영산강유역환경청,1. 기관소개,2. 정보목록,3. 영산강유역환경청 기록관 보유 기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
원주지방환경청,1. 기관소개,2. 정보목록,3. 원주지방환경청 문서고 보유 기록물 목록,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
대구지방환경청,1. 기관소개,2. 정보목록,3. 대구지방환경청 기록관 보유기록물 목록,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
전북지방환경청,1. 기관소개,2. 정보목록,3. 전북지방환경청 기록관 보유기록물 목록,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
수도권대기환경청,1. 기관소개,2. 정보목록,3. 수도권대기환경청 기록물 보유목록,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
국립환경과학원,1. 기관소개,2. 정보목록 : 없음,3. 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
서울지방국토관리청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
부산지방국토관리청,1. 기관소개,2. 정보목록,3. 보유기록물 현황: 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대전지방국토관리청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
원주지방국토관리청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
익산지방국토관리청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
중앙토지수용위원회,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
서울지방항공청,1. 기관소개,2. 정보목록,3. 서울지방항공청 기록관보유기록물 현황,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
부산지방항공청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
제주지방항공청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
군산지방해양수산청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음 ,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명 ,6. 기타,,,,,
